Nom et nature,Conditionnement,PPV
"NOZINAN 25 mg/ml, Solution injectable",Boîte de 5 Ampoules,24.6
CEZIN 10 mg Comprimé,Boite de 7 comprimés,11
"VIRGAN 0,15 %, Gel ophtalmique",Tube de 5 g,140
"SINGULAIR 5 mg ,Comprimé à croquer",Boîte de 28,303
"PRIRIL 10 MG, Comprimé",Boite de 30,76.1
"GILENYA 0,5 MG, Gellule",Boite de 28 gellules,18090
"APETINE 4 MG, Comprimé",Boîte de 30,16.3
"SYNAX 50 MG, Comprimé",Boite de 30,100.1
"CIPROXINE 400 MG / 200 ML, Soluté injectable IV",Flacon de 200ml,415
"ELEVIT PRONATAL, Comprimé pelliculé",Boîte de 30,77.7
"TENSIOTEC 5 MG, Gélule",Boîte de 30,57
"NO-DOL CODEINE, Comprimé",Boite de 20 comprimés dosés à 500 mg de paracétamol et 30 mg de codéine phosphate hémihydraté,28
"CARDENSIEL 1,25 MG , Comprimé pelliculés sécables",Boîte de 30,77.8
PERNABOL 4 mg Comprimé,Boîte de 30,16.8
"GENTOSYL 80 MG, Soluté Injectable Ampoule de 2 ml",Boîte de 6,94.5
"DILATREND 25 MG, Comprimé",Boîte de 30,152.5
"CO-AMOXICLAV SP 1G / 125 MG, Poudre pour suspension buvable en sachet",Boite de 24,163.7
"IBUPHIL 2 %, Sirop",Flacon de 100 ml,16.5
"GLUCOR 100 MG, Comprimé",Boîte de 30,85.3
"MEDEP 10 MG, Comprimé",Boite de 28,41.5
"ULCIDINE 40 mg Comprimé sécable,",Boîte de 10,128.5
"TEMODAL 100 MG, Gélule",Boîte de 5,3156
"CEFTRIAXONE MYLAN 500 MG, Poudre Solution injectable IV",Boîte de 1 flacon,57
"VITAMAG, Comprimé effervescent",Boite de 20,89
"TOPIRAMATE GT 25 mg , Comprimé pelliculé",Boîte de 10,22.6
"VASCOR LM 35 MG, Comprimé",Boîte de 60,103
"SKIACOL 0,005 , Collyre","Flacon de UNIDOSE 0,5ml",18.2
ZOVIRAX I.V. 250 mg Injectable,Boîte de 1,171.4
VALEX 500 Mg Comprime enrobé,Boite de 14 comprimés enrobés,152.5
"ANTIGRIPPINE, Comprimé",Boîte de 20,18.4
"DIPICOR 5 MG, Comprimé",Boîte de 30,53
"ERGOGYL 200000 UI /0,5 ML",Boite d'une ampoule dosée à 200000 UI,12
"OCET 200 MG, comprimé",Boite de 20,108
"PECTRYL Sirop,",Flacon de 150 ml,22.7
"PACLITAXEL PHARMACHEMIE 6 MG / ML, Concentré pour solution perfusion",Flacon de 25 ML,1341
"LEVAMOX 500 MG / 62,5 MG, Sachet",Boîte de 12,65
"CEFUTIL 250 MG, Comprimé",Boite de 10,94.4
LUVERIS 75 U.I,Boîte de 1 flacon,448
"AERRANE, Liquide pour inhalation",Flacon de 250 ml,809
DIMAZOL 10 mg Comprimé,Boîte de 50,48
"CEROXIM 500 MG, Comprimé",Boîte de 10,141.2
"NOMADOL 100 MG, Solution injectable IV",Boite de 5,37.5
"SULIAT HCT 160 MG / 10 MG / 12.5 MG, Comprimé pelliculé",Boite de 14,105.2
MORIDIL Pommade,Tube de 20 g,13.2
"OPTICILLINE 250 mg, Gélule",Boîte de 24,51.8
"DEXERYL, Crème",Tube de 50 G,36
"OMIZ 10 MG, Gélules",Boite de 14,23.6
"EXFORGE 5 MG / 80 MG, Comprimé pelliculé",Boîte de 14,156.2
SODIUM CHLORURE 10% 10 ml,Boîte de 10 ampoules,26.7
"CONECTOR 5 MG, Comprimé orodispersible",Boite de 112,283
"ESAC 40 MG, Microgranules gastrorésistants en gélule",Boîte de 28,226.6
"NOVEX 2000UIantiXa/0,2ml , Solution injectable",Boîte de 2 seringues pré-remplies,66
"KEPPRA 250 MG , Comprimé pelliculé",Boîte de 60,348
"BIPRETERAX ARGININE 5 MG / 1,25 MG, Comprimé pelliculé",Boîte de 30,125.6
"UFT TEGAFUR / URACILE 100 MG / 224 MG, Gélule",Boîte de 28,2442
"MYCOSTATINE 500 000 UI, Comprimé dragéifié",Boîte de 16,26.9
"PRIORIX, Préparation injectable",Flacon de Vaccin lyophilisé + diluent en Boîte de 1 seringue préremplie,149
"ALVITYL, Comprimé effervescent",Boite de 20,73
"OLICLINOMEL N6-900 E, Emulsion et Solution pour perfusion",Poche de 2 litres,586
"GLURENOR 30 mg, Comprimé",Boîte de 60,69
NEOTIGASON 10 mg Gélule,Boîte de 30,340
"ROMILAST 10 MG, Comprimé à croquer",Boite de 10,78.4
"OFIKEN 200 MG, Comprimé",Boite de 8,102
"NOFENE 100 MG, Suppositoire",Boite de 12 suppositoires,29.3
"CEFTAJECT 1 g/3,5 ml Poudre et solvant pour préparation injectable",Boîte de 1 flacon de Poudre et 1 ampoule de solvant,90
"GLUCOSE ISOTONIQUE 5% Solution Injectable ,",Poche de 100 ml,17.4
"DINEX 100 MG, Comprimé à croquer ou dispersibles",Boîte de 60,204
"LIRAPYN 300 MG, Gélule",Flacon de 90,799
TETANEA 1500 U.I./I.U./ML MERIEUX,Boîte d'une seringue d'une dose,43
"BETOPTIC 0,005, Collyre",Flacon de 3ml,62.3
"DUROGESIC 50 µG/H, Dispositif transdermique",Boîte de 5 sachets,459
"PHYSIOLAC 2EME AGE, Lait",Boite de 400G,68.5
"GANFORT 0,3mg/ml+5mg/ml Collyre en solution","GANFORT 0,3mg/ml+5mg/ml Collyre en solution Flacon de 3ml",234
"CATEX 750 MG, Comprimé",Boîte de 20,470
MYCOFLU 50 mg Gélule,Flacon de 7,80
"XANTHIUM LP 400 MG, Gélule LP",Boîte de 30,37.6
TONICALCIUM adultes 10 ml,Boîte de 20 ampoules,41.5
"CETAMYL 80 MG, Suppositoire",Boîte de 10,9
"PREMOCEFAL 500 mg/5ml , Poudre pour sirop",Flacon de 60 ml,70
"ORALGAN CODEINE 300 MG / 25 MG, Comprimé",Boîte de 10,14.05
"RAVIVA 15 MG, Comprimé sécable",Boite de 20,79
"NITRODERM TTS 5 MG, Patch transdermique",Boîte de 10,84.1
"THALAMAG, Gélule",Boite de 30,69
"CALCINIB 10 MG, Comprimé",Boîte de 28,75.2
"MODILAC 2EME AGE, Lait",Boite de 400G,56
"CO-IRVEL 300 MG / 12.5 MG, Comprimé pelliculé",Boite de 7,42.5
OKARUBICIN 50 mg lyophilisat pour Solution injectable,Boîte de 1 Flacon de 50ml,407
"PEDOVEX 75 MG, Comprimé pelliculé (Retiré du marché le 28 mars 2018)",Boite de 10,97.1
"DOLTRAM, Comprimé pelliculé",Boite de 20,30
"EXEMESTANE NORMON 25 MG, Comprimé pelliculé",Boite de 30,518
"MOZAL 20 MG, Microgranules gastro-résistants en gélule",Boite de 14,52.8
"COSTAL 20 MG, Comprimé pelliculé",Boite de 10,37.6
"BARALGIN M 1 G, Suppositoire",Boîte de 5,11.6
OMNIPAQUE 300mG/INJECTABLE,Boite unitaire 100 Ml,372
"ALLERGODIL, Spray Nasal",Flacon 10 ml avec pompe doseuse,74.5
"ALACTAM 1 G / 125 MG, Sachet",Boite de 16,114.9
"CLAMOXYL 500 MG, Comprimé dispersible",Boîte de 24,65.4
"VOLTARENE 25 MG, Suppositoire",Boîte de 10,16.4
FENTANYL MYLAN 500 µg/10 ml Solution injectable,Boîte de 10 flacon de 10 ml,
"ONIFINE 1%, Crème",Tube de 15 G,34
"RELVAR ELLIPTA 184 MCG / 22 MCG, Poudre pour inhalation",Boite de 30 doses,430
"FLOTRAL 10 mg, Comprimé",Boîte de 10,58.4
"XENID 75MG / 3 ML, Injectable",6 Ampoules,46.9
"CICLOVIRAL 800 MG, Comprimé",Boîte de 25,502
"ORVASC 10 MG, Comprimé orodispérsible",Boite de 30,76
"PROSOPAN, Sirop",Flacon de 200 ml,52.2
"VITA-POS, Pommade ophtalmique avec vitamine A",Tube de 5 G,79
"CORPRIL 1,25MG, Gélule",Boite de 30,40
"ACUPAXIL 30, Solution à diluer pour perfusion",Flacon de 5 ml,430
"OCREVUS 300 MG / ML, Solution à diluer pour perfusion",Boite de 1 flacon,56150
"BACTOX 250 MG, Poudre pour Suspension buvable",Flacon de 60 ml,28.15
"MELOXICAM GT 7,5 MG, Comprimé",Boite de 30 comprimés,72.1
"ROXAM 20 MG, Solution injectable",2 Ampoules,23
"ALTEC 2,5 MG, Gélule",Boite de 30,36.9
"DOCETAXEL ZENITH 20 MG, Solution à diluer et solvant pour perfusion",boite d'un flacon de 0.5 ml,821
"METFORMINE WIN 850, Comprimé",Boite de 30 comprimés sécables,17.1
"ACUCARB 150 MG, Solution pour perfusion",1 flacon de 15 ml,408
"TAXOTERE 20 MG / 0,5 ML, Solution à diluer pour perfusion",Boîte d'un Flacon + 1ampoule solvant,1057
"FLIXOTIDE 100 µg, Poudre pour inhalation buccale en Récipient unidose",Boîte de 60,145
"FENTANYL MYLAN 100 µg / 2 ml, Solution injectable",Boîte de 10 flacons de 2 ml,
"TUNELUZ 20 MG, Gélule",Boîte de 10.,71.4
LYSOPURIC 100 mg Comprimé,Boîte de 50,26.2
"TIENAM 500mg/500mg, Poudre Pour perfusion",Flacon de 20 ml,171
"METHYLPREDNISOLONE MYLAN 1 G, Poudre Solution injectable(IV)",Boîte de 10 flacons,1506
"IRIS 3 MG, 0.02 MG, Comprimé pelliculé",Boite de 28,92.2
"BETASTENE 2 MG, comprimé",Boite de 20 comprimés dispersibles dosés à 2 mg,41.5
"TRIVASTAL 50 MG, Comprimé enrobé à libération prolongée",Boîte de 30,110.5
"CIBACALCINE 0.5 MG, Poudre pour Solution Injectable",Boîte de 5,465.1
"FONGICAN 150 mg , Gélule",Boîte de 5,85
"FLOXAPEN 250 MG, Poudre pour sirop",Flacon de 100 ml,71.4
"CLAZEN 250 MG, Comprimé",Boite de 14,79.6
"CLOPICARD 75 MG, Comprimé pelliculé",Boite de 30,170
"VERPAN 300 MG, Comprimé",Boite de 28 comprimés,150
"HERPEVIR 5%, Crème",Tube de 10g,40
"SOLUMEDROL 120 MG / 2 ML, Injectable",1 Flacon + 1 ampoule,57.6
M-M-R II,Seringue préremplie de 0.7 ml,168.1
"NEPZAN 5 MG, Comprimé pelliculé",Boite de 14,82
"AM-10 10 MG, Comprimé",Boite de 20,55.6
"NO-DEP 50 MG, Comprimé",Boîte de 15,71
"SISTEROL 20 MG, Comprimé enrobé",boite de 30,84.1
"ALODONT 5%, Solution pour bain de bouche",Flacon de 200ml,21.35
"OROVASC 5 MG, Comprimé orodispérsible",Boite de 10,18.6
"OKA-DOCETAXEL 20 MG / 5 ML, Solution injectable",Boîte de 1 Flacon de 5ml,800
"ARTEMON 5 MG / 5 MG, Comprimé",Boite de 30,154.7
"DOPAMINE PIERRE FABRE 50 MG /10 ML , Solution injectable en IV",Boîte de 50 Ampoule de 10 ml,519
"MEDIBRONC ADULTE 5 g/100 ml , Solution buvable",Flacon de 150ml,26.5
"BETANET G, Solution gynécologique",Bidon de 5 Litres,266.2
"PROJEVA 200 MG, Capsule molle orale ou vaginale",Boite de 45,167.5
CEFTAJECT 1 g/10 ml Poudre et solvant pour préparation injectable,Boîte de 1 flacon de Poudre et 1 ampoule de solvant,90
"VOLTARENE SR (LP) 75 MG, Comprimé enrobé",Boîte de 20,76.2
"PERSANTINE 75 MG, Comprimé enrobé",Boîte de 30,31.5
"PROPOFOL-LIPURO 1% (10MG/1ML), Émulsion injectable (IV) ou pour perfusion",Boite de 5 ampoules de 20 ML,300
"COAPROVEL 150 MG /12,5 MG, Comprimé enrobé",Boîte de 14,96.2
"FFEMILYANE, Hygiène intime",Flacon de 200 ML,58.1
"SKINOSALIC , Lotion",Flacon 30g,34.7
"BRUFEN 100 MG, Suspension pédiatrique",Flacon de 150ml,22.5
"IRPHI PLUS 300 MG / 12.5 MG , Comprimé pelliculé",Boite de 20,112.8
"LEVAMOX 1 g/ 125 mg Poudre pour Suspension buvable en sachet,",Boîte de 16,124
"COLPOTROPHINE 10 mg , Capsule vaginale",Boîte de 20,63.6
"TIAGAM 100 MG, Comprimé sécable",Boîte de 30,27
"LYRICA 25 MG, Gélule",Boîte de 56,210
"IPRATROPIUM AGUETTANT ENFANTS 0,25mg/1ml Solution pour inhalation",Boite de 10 récipient unidose de 1ml,
"ANTISTAPH / PENISTAPH 125 MG, Suspension buvable",Flacon de 100 ML,26.6
ESTRAPATCH 40µg/24heures Dispositif transdermique (Patch) en Sachet,Boîte de 4 Sachets,95.5
"BICALUTAMIDE PHARMED 50 MG, Comprimé pelliculé",Boite de 28,434
"OFTALAR 0,1 %, Collyre",Flacon de 5 ml,45.9
"AMOXIL 1 G, Comprimé dispersible",Boîte de 12,55
"FENAC PROMOPHARM 100 MG, Suppositoire",Boîte de 10,30.1
"AGRAM 500 MG , Gélule",Boîte de 12,56.85
"KÉTINE 300 MG, Comprimé à libération prolongée",Boite de 30,293
"OPRA 20 MG, Gélule gastro-résistante",Boite de 7,20
"CANDESSAR RANBAXY 16 MG, Comprimé",Boite de 28,131
"DIURIMAT 2.5 MG, Comprimé pelliculé",Boite de 30,32.5
PHOSPHATE DE DEXAMETHASONE MYLAN 4 mg/1ml Solution injectable,Boîte de 20 flacons,182.4
"MADOPAR 250 MG, Comprimé quadrisécable",Boîte de 100 ( Lévodopa 200MG | Bensérazide : 50MG),298
"ANGLOR 10 MG, Comprimé",Boite de 30,77
"ANOR 10 MG, Comprimé",Boite de 84,451
"AIRATHON 4 MG, Comprimé",Boite de 28,190
"BAUME SLOAN 1G, Pommade","Tube de 37,5 g",10.1
"LOSARTAN GT 100 mg, Comprimé pelliculé",20 comprimés,120
"DICLOMAX LP 75 MG, Gélule",Boîte de 20,51
"EXJADE 125 MG, Comprimé dispersible",Boite de 28,1661
"ENROUEX, Comprimé à sucer sans sucre",Boite de 10,42.8
"BONDRONAT 50 MG, Comprimé pelliculé",Boîte de 28,2771
"ALFAMOX 1 G, Comprimé",Boîte de 12,53.5
"AXIMYCINE1G, Injectable ,",Boîte de 6 flacons + 6 solvants : Alcool benzylique 3%,67.9
"AULCER 20 MG, Gélule",Boîte de 28,102
"CURTEC 1 MG / ML, Solution buvable",Flacon de 60 ml,20
"ALIMTA 500 MG, Solution pour perfusion",Boîte de 1 Flacon,11999
"CINABAC 500 MG, Comprimé pelliculé",Boîte de 10,74.8
"FEMARA 2.5 MG, Comprimé pelliculé",Boîte de 30,1021
"NEWGLIN 1 MG, Comprimé",Boite de 15,25.2
"DILOVAC 25 MG, Comprimé",Boite de 30 comprimés sécables,72.8
"HEPADIAL 50 mg , Comprimé enrobé",Boîte de 100,49
"DIPRIVAN 200 mg/20 ml , Emulsion injectable en IV",Boîte de 5 Ampoules de 20 ml,351
"CANAFLUCAN 150 mg , Gélule",Boîte de 1,33
"LOTEVAN 5 MG / 160 MG, Comprimé pelliculé",Boite de 30,247
"FACTIVE 320 Mg, Comprimé pelliculé",Boite de 5,213
"REBIF 44 µg, injectable",Boîte de 12 seringues,9269
"IPAC 20 MG, Gélule gastro-résistante",Boite de 28,139
"GYNOFLOR, Comprimé vaginal",Boite de 6,69.9
"ARIPIPHI 30 MG, Comprimé",Boite de 30,551
"DOLPINE 10 MG, Comprimé",Boite de 60,145.9
"NEOCIP 500 MG, Comprimé",Boîte de 10,74.8
"FITOLAT, Comprimé",Boite de 30,79.9
"MYDRIATICUM 0,005 , Collyre",FL10 ml,25.9
"PARANTAL C 1000 Comprimé effervescent,",Boîte de 10,19.6
"CANAFLUCAN 150 mg , Gélule",Boîte de 5,292.85
"EXACYL 0,5 G / 5 ML , Solution injectable",Boîte de 5 ampoules,44.4
"REQUIP 0,25 MG, Comprimé pelliculé",Boîte de 21,33.4
FITEX 250 mg Comprimé,Boîte de 28,256
"REVATIO 20 MG, Gélule",Boîte de 90,4167
"HYDRACORT 0,005 , Crème",Tube de 30g,40.4
"PRIMPERAN 10 mg, Comprimé sécable",Boîte de 40,38.2
"TOTIFEN 1 MG, Gélule",Boîte de 30,54.4
"ANTETAL VACCIN, Préparation injectable",Préparation injectable,18.9
INTRALGIS 200 mg Comprimé pelliculé,Boîte de 20,22.7
"SPASMOPAN 10 MG, Dragée",Boîte de 40,20
"COAVACOR 300 MG / 12.5 MG, Comprimé pelliculé",Boite de 30,158.2
"FURILAN 20 MG, Soluté Injectable Ampoule de 2 ml",Boîte de 5,19.6
"DOLOSTOP 100 MG, Sachet",Boite de 12,8
"POLYGYNAX, Capsule vaginale",Boîte de 6,38.3
"PIZEDA 400 MG, Comprimés",Boîte de 50,67
"SOTRET 10 MG, Capsule molle",Boite de 30,150
"APTAMIL 2EME ER AGE, Lait",Boite de 400G,78
"EMLA 5%, Crème",Tube de 5 g,88.3
"CALCIDIA 1,54 g granulés pour Suspension buvable en Sachet",Boîte de 20,61.6
"NURODOL 200 MG, Comprimé enrobé",Boîte de 20,17
"ORAPRED 5 MG, Comprimé effervescent",Boîte de 60,38
"NEXTAL, SOLUTION OPHTALMIQUE",Flacon de 10 ML,87
"VANTEC 10 MG, Comprimé enrobé",Boite de 30 comprimés enrobés sécables dosés à 10Mg de cétirizine,37.7
"GRISEO SALICYLEE Pommade dermique,",Tube de 15 g,12.6
"PROPOFOL-LIPURO 1% (10MG/1ML), Émulsion injectable (IV) ou pour perfusion",1 flacon de 100 ML,400
"FLUCONAZOLE GT® 150 MG, Gélules",Boite de 4 gélules,59.8
VENLAX XR COOPER 150 mg Gélule à libération prolongée,Boîte de30,
"DISPAMOX 1 G, Comprimé dispersible",Boîte de 14,64.1
"MOLGAM 200 MG, Comprimé",Boîte de 20,40
"DIPROSONE 0,05%, Pommade",Tube de 30 g,32.5
"BACTOX 1 G, Sachet",Boîte de 24,117.3
"EXIDEP 20 MG, Comprimé enrobé",Boite de 10,74.4
"APHILAN 25 MG, Comprimé sécable",Boîte de 20,14.9
"NOPOROSE 35 MG, Comprimé",Boite de 12 comprimés,497
"EXEMESTANE COOPER 25 MG, Comprimé pelliculé",Boite de 30,518
"LEVAMOX 100 MG/ 12.5 MG, Poudre pour Suspension buvable en flacon,",Flacon de 30 ml,38.8
"PHARMADIPINE 10 MG, Capsule",Boîte de 30,35.9
"RINOMICINE400 MG / 4 MG / 200 MG / 6 MG / 30 MG / 300 MG , Sachet",Boîte de 10,22.7
"ANGIODROP, Solution ophtalmique",Flacon de 15 ml,74
"KANAMED PHARMA 1 g , Poudre pour solution injectable",1 Flacon de poudre et de 1 ampoule de solvant,18
"IMATINIB ZENITH 100 MG, Comprimé pelliculé",Boite de 30,963
GAVISCON Suspension buvable,"Suspension buvable, Boîte de 24 sachets",34.2
"REDLIP 40 MG, Comprimé pelliculé",Boîte de 60,437
"LATANO JP 0.005%, Solution ophtalmique",Flacon de 2.5 ML,102.1
"H-PARA 5 µG, / ML, Solution injectable",Boite d'1 ampoule de 1 Ml,151.3
"UROFLOX 200 MG, Comprimé enrobé sécable",Boîte de 2,50
"METHYLPREDNISOLONE MYLAN 500 MG, Poudre Solution injectable(IV)",Boîte de 10 flacons,935
"MERILYS 0.15 MG / 0.2 MG, Comprimé",Boite de 21,40.6
"VARTEX 40 MG, Comprimé pelliculé",Boite de 28,80
"Stalevo 150/37,5/200 mg, Comprimé Pelliculé",Boîte de 100,1113
"SULIAT 160 MG / 5 MG, Comprimé pelliculé",Boite de 28,185.2
"FACTIVE 320 MG, Comprimé pelliculé",Boite de 7,282
"LEVOFLOXACINE GT 5 MG / ML,Solution pour perfusion",Boite de 1 flacon de 100 ML,255
"FARMODOXI 200 MG, Comprimé",Boîte de 10,39.8
"AIRLIX 10 MG, Comprimé",Boîte de 15,52
"OCET 200 MG, Comprimé",Boite de 2,37
"AMIFLOX 2MG/ML, Solution pour perfusion",Poche de 100 ML,143
"ERCEFURYL 4% , Suspension buvable",Boîte d'un Flacon de 90 ml,30.6
"OSMOSINE 1 G / 5 ML, Suspension",Flacon 260 ml,34
"HÉMO-PUR B1,Soluté pour hémodialyse",Bidon de 10 litres,108.8
"CARDINOR 25 MG, Comprimé",Boîte de 60,180
"TRONID 500 MG, Comprimé",Boîte de 20,31
"LOMET 30mg, Gélule",Boîte de 14,37
"STARMOX 500 MG/5 ML, Poudre pour suspension buvable",Flacon de 60 ml,32.5
"ROCURONIUM SP 10 MG / ML, Solution injectable",Boite de 10 flacon de 5 ML,369
"OTOFA 200 000 UI, Solution auriculaire",Flacon de 10 ml,28.5
"FELDENE 20 MG, Comprimé dispersible",Boîte de 10,41.7
"AZIMAX 900 MG, Poudre pour solution orale","Flacon de 22,5 ml",70
"OROVASC 5 MG, Comprimé orodispérsible",Boite de 30,43
"D-RUBICIN 10 MG / 10 ML, Poudre pour usage parentéral",Boîte unitaire,95.3
"CARBOPLATINE THYMOORGAN 150 MG / 15 ML, Solution à diluer pour perfusion",Boite de 1 flacon,684
"RETACNYL 0,0005 , Crème",Tube de 30g,83.1
"CO-IRVEL 150 MG / 12.5 MG, Comprimé pelliculé",Boite de 7,39.5
"DOLOSTOP 150 MG, Suppositoire",Boite de 10,9
"INDUCTAN 0,787 %, Poudre pour solution orale",Flacon de 250 ml,35.9
"TOTHEMA , Solution buvable",Boîte de 20 Ampoules de 10 ml,43
"BUTOVENT 2 MG, Comprimé",Boîte de 50,21.9
"VACCIN ANTIDIPHTÉRIQUE et ANTITÉTANIQUE ADULTES et ADOLESCENTS ANATOXINE DIPHTÉRIQUE >= 2 UI, ANATOXINE TÉTANIQUE >= 40 UI, suspension injectable",Boîte de 1 ampoule,15
"ALGIXENE 250 MG, Gélule",Boîte de 30,47.9
"ZIVLOX 400 MG, Comprimé pelliculé",Boite de 7,267
"BI-RODOGYL 1.5 MUI / 250 MG, Comprimé",Boîte de 15,102
"CANDESSAR RANBAXY 8 MG, Comprimé",Boite de 14,71.2
"ARIXTRA 7,5 MG / 0,6 ML, Seringue pré-remplie",Boîte de 7,1118
"AERIUS 5 MG, Comprimé pelliculé",Boîte de 15,61.8
FITEX 250 mg Comprimé,Boîte de 14,135
"INILASE 75 MG, Comprimé pelliculé",Boite de 15,118.3
"SULIAT HCT 160 MG / 10 MG / 25 MG, Comprimé pelliculé",Boite de 56,306
"CLARITYNE 10 MG, Comprimé effervescent",Boite de 15,94.5
"EULEXINE 250 MG, Comprimé",Boîte de 30,283
"THIAM 250 MG, Comprimé",Boîte de 16,24.3
"APAZIDE 200 MG, Gélule",Boîte de 16,19.7
"RADIOSELECTAN 30%, Solution injectable",Flacon de 250 ml,217
"NURSIE LACTOFIDUS, Lait",Boite de 400G,68
"HALOPERIDOL 5 mg / ml , Solution injectable",Boîte de 5 ampoules de 1 ml,20.5
"PANADOL 250 MG, Suppositoire",Boîte de 10,10.6
"VOGALENE 10 mg/1ml, Solution Injectable",Boîte de 10,28.6
"BINOCRIT 2000 UI / 1 ML, Solution injectable",Boite de 6 ampoules,821
"VINCRISTINE COOPER 1 MG / 1 ML, Solution Injectable IV",Boîte de 5,306
"PERIACTINE 4 mg , Comprimé pelliculé",Boîte de 30,17.3
"PIPORTIL L4 100 MG / 4 ML, Solution injectable",Boîte de 1 Ampoule de 4 ml,155.3
"AMIAN 100 MG, Comprimé",Boite de 30,90.7
"SERC 8 mg , Comprimé",Boîte de 50,69.2
"ZINNAT 125 MG, Comprimé",Boîte de 10 comprimés,68.6
"DILATOR 2.5 MG / 2.5 ML, Solution pour inhalation",Boîte de 60,167.4
"COSTARVAL 80 MG / 12.5 MG, Comprimé pelliculé",Boite de 14,82.9
"REGAXIDIL 5 %, Solution pour application cutanée",Flacon de 60 ML,260
"TYRA 20 MG, Comprimé pelliculé",Boite unitaire,81.5
"IBUMAC LP 300mg, Gélule",Boîte de 30,42
"POLYMAZINE 100 MG, Comprimé pelliculé",Boite de 30,17.1
"TRIOMUNE 40 / 150 MG, Comprimé",Boîte de 30,98.3
"SOLUMEDROL 500 MG, Injectable",Boîte de 10 Flacons,1368
"LYSANXIA, Gouttes Buvables",Flacon de 20 ml,37.6
"ECOCLAV 500 MG / 62.5 MG, Sachet",Boite de 12,57.9
"THERALENE 0,05 % , Sirop",Flacon de 150ml,13.8
"DIFAL 25 MG, Suppositoire",Boîte de 10,11.9
"FLUORO URACILE 250 MG ICN, Solution pour perfusion",Boite de 12 vials,257
"GLIMIRYL 2 MG, Comprimé",Boite de 30,40
"CISPLATINE EBEWE 10 MG /20 ML, Solution pour perfusion",Flacon de 20 ml,43
"PACLITAXEL PHARMACHEMIE 6 MG / ML, Concentré pour solution perfusion","Flacon de16,7 ml",823
"TELEBRIX 35 350 mg d'iode/ml , Solution injectable",Boîte de 1 Flacon de 100 ml,202
"NALGESIC 300 MG , Comprimé pelliculé",Boîte de 36,76.5
"SOLUPRED 20 MG, Comprimé effervescent",Boîte de 20,58.4
"CANDIDAX, Solution lavante",Flacon de 200 ML,79.5
"CHLORURE DE SODIUM 0,9% GÉNÉRATION SANTÉ, Soluté injectable","Poche souple Flip Off en PVC plastifié, 500 ml",21
